Club,Valeurs,draw,form,goalDifference,goalsAgainst,goalsFor,lost,playedGames,points,position,won
Barça,777.0,2,"W,W,D,W,W",30,6,36,1,17,44,1,14
Real Madrid,849.0,2,"W,L,W,W,L",22,16,38,2,17,41,2,13
Real Sociedad,380.5,2,"W,W,W,W,W",10,18,28,4,18,38,3,12
Atleti,480.0,4,"W,D,L,W,L",11,16,27,5,18,31,4,9
Villarreal,328.7,4,"W,D,W,W,W",8,13,21,5,18,31,5,9
Real Betis,260.0,4,"L,W,D,L,D",5,14,19,5,17,28,6,8
Osasuna,124.2,4,"D,W,D,L,L",1,17,18,6,18,28,7,8
Athletic,224.3,5,"L,L,D,D,W",6,19,25,6,18,26,8,7
Rayo Vallecano,91.5,5,"L,W,L,D,D",2,22,24,6,18,26,9,7
Mallorca,78.3,4,"W,L,W,L,W",-1,16,15,7,18,25,10,7
Girona,118.6,6,"L,W,D,D,W",-2,28,26,7,18,21,11,5
Valencia,249.5,5,"D,L,L,W,D",5,20,25,7,17,20,12,5
Espanyol,102.9,8,"W,W,D,D,L",-4,26,22,6,18,20,13,4
Almería,99.4,4,"D,D,L,D,W",-8,28,20,9,18,19,14,5
Sevilla FC,230.0,6,"W,L,W,D,L",-8,26,18,8,18,18,15,4
Getafe,142.2,5,"L,L,L,W,L",-9,25,16,9,18,17,16,4
Celta,124.2,5,"L,D,W,D,D",-12,29,17,9,18,17,17,4
Valladolid,69.8,2,"L,L,L,L,L",-15,28,13,11,18,17,18,5
Cádiz CF,55.2,7,"L,D,W,D,L",-17,29,12,8,18,16,19,3
Elche,69.4,6,"D,D,L,L,L",-24,36,12,12,18,6,20,0
